==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
30.0326s  481.70us            (320 1 1)       (100 1 1)       104  4.9063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_3_kernel0 [783]
30.0332s  410.85us                    -               -         -         -         -  4.0000MB  9.5077GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0336s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0336s  482.12us             (80 1 1)       (100 1 1)        96  2.4531KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_14_kernel0 [797]
30.0342s  943.47us                    -               -         -         -         -  9.0000MB  9.3157GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0352s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0352s  1.0046ms             (40 1 1)       (400 1 1)        72  11.953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_15_kernel0 [811]
30.0363s  403.78us                    -               -         -         -         -  4.0000MB  9.6742GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0367s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0367s  476.17us            (320 1 1)       (100 1 1)       104  4.9063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_3_kernel0 [824]
30.0372s  406.37us                    -               -         -         -         -  4.0000MB  9.6125GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0377s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0377s  483.01us             (80 1 1)       (100 1 1)        96  2.4531KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_14_kernel0 [837]
30.0382s  956.08us                    -               -         -         -         -  9.0000MB  9.1929GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0392s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0392s  1.0159ms             (40 1 1)       (400 1 1)        72  11.953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_15_kernel0 [850]
30.0403s  405.67us                    -               -         -         -         -  4.0000MB  9.6292GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0407s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
